BPA ID,Collection Site,Country,State,Sample date,Latitude,Longitude,Elevation,Current Land Use,Ecological Zone,Vegetation Type,Australian Soil Type Classification,FAO Soil Type Classification,Vegatation Total Cover,Dominant Trees,Site Slope,Slope Aspect,Profile Position,Drainage,Environment Event,Fire History,Fire Intensity,Last Change in Land Use,Immediate previous Land Use,Crop Rotation 1,Crop Rotation 2,Crop Rotation 3,Crop Rotation 4,Crop Rotation 5,Agrochemical Additions,Tillage,Site Comments,Horizon,Moisture,Colour,Gravel,Texture,Course Sand,Fine Sand,Sand,Silt,Clay,Ammonium Nitrogen,Nitrate Nitrogen,Phosphoros Colwell,Potassium Colwell,Sulphur,Organic Carbon,Conductivity,CaCl2 pH,H2O pH,DTPA Cu,DTPA Fe,DTPA Mn,DTPA Zn,Exc Al,Exc Ca,Exc Mg,Exc K,Exc Na,Boron Hot CaCl2,Total N,Total C
102.100.100.7083,Boddington,,,2011-11-26,-32.8200333333,116.413633333,329,Residual native cover,Temperate,Woodland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,9,0.0,3.0,76.19,10.37,86.57,6.22,7.21,8.0,2.0,6.0,133.0,17.0,4.96,0.056,5.0,5.9,0.78,65.5,28.95,0.15,0.313,9.93,2.32,0.34,0.28,0.77,,
102.100.100.7084,Boddington,,,2011-11-26,-32.8200333333,116.413633333,329,Residual native cover,Temperate,Woodland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,4,5.0,2.5,74.72,10.8,85.52,8.31,6.18,5.0,1.0,2.0,58.0,13.5,2.01,0.044,5.7,6.6,0.4,42.35,7.76,0.03,0.0001,4.86,1.55,0.15,0.2,0.48,,
102.100.100.13438,Antarctic,,,,-66.28223,110.526539,35,Wilderness area,Polar,Moss and lichen,,CRYOSOLS,10.0,,4.640348,355.440796,,,,,,,Wilderness area,,,,,,,,,0.0,11.1219347336,,27.1,,,,62.9,10.0,,,,799.9,,,0.4,0.0274,,5.91,,,,,,,,,,,,
102.100.100.7085,Bannister North,,,2011-11-30,-32.5888666667,116.4591,390,Residual native cover,Temperate,Woodland,Hydrosols,,,,,,,,,,,,,,,,,,,,,0.0,,2,0.0,1.5,82.3,7.51,89.8,3.07,7.12,4.0,1.0,2.0,44.0,23.8,2.85,0.075,4.4,5.2,0.71,54.7,5.75,0.17,0.548,2.36,0.56,0.11,0.08,0.32,,
102.100.100.7086,Bannister North,,,2011-11-30,-32.5888666667,116.4591,390,Residual native cover,Temperate,Woodland,Hydrosols,,,,,,,,,,,,,,,,,,,,,20.0,,17,0.0,1.5,74.33,17.51,91.85,2.05,6.1,2.0,2.0,0.0001,26.0,244.0,1.37,0.058,4.9,5.8,0.42,43.02,1.99,0.03,0.304,1.29,0.41,0.07,0.09,0.32,,
102.100.100.7087,Lake Cowan,,,2011-12-02,-32.1587166667,121.7603,265,Lake - saline,Arid,Other,Rudosols,,,,,,,,,,,,,,,,,,,,,0.0,,1,0.0,3.0,50.42,36.16,86.58,5.77,7.65,3.0,3.0,20.0,563.0,4895.0,0.82,32.14,8.1,8.2,2.76,42.19,12.76,1.1,0.0001,16.88,28.27,1.15,128.31,2.24,,
102.100.100.7088,Lake Cowan,,,2011-12-02,-32.1587166667,121.7603,265,Lake - saline,Arid,Other,Rudosols,,,,,,,,,,,,,,,,,,,,,20.0,,1,0.0,3.0,13.44,43.13,56.57,25.65,17.79,0.0001,3.0,19.0,428.0,2702.9,0.81,24.76,8.2,8.5,2.15,45.46,7.16,0.72,0.0001,6.26,21.53,1.07,91.28,1.57,,
102.100.100.7089,Lake Cowan,,,2011-12-02,-32.1586,121.7609,267,Lake - saline,Arid,Other,Tenosols,,,,,,,,,,,,,,,,,,,,,0.0,,14,0.0,2.0,47.8,47.41,95.21,3.64,1.15,0.0001,3.0,13.0,91.0,4332.6,0.53,14.02,8.8,9.0,1.05,25.53,3.2,0.36,0.0001,91.82,6.87,0.19,37.21,1.33,,
102.100.100.7090,Lake Cowan,,,2011-12-02,-32.1586,121.7609,267,Lake - saline,Arid,Other,Tenosols,,,,,,,,,,,,,,,,,,,,,20.0,,14,0.0,2.0,48.35,34.16,82.51,12.87,4.62,0.0001,1.0,14.0,76.0,4704.3,0.2,6.05,8.3,8.6,0.75,23.77,2.32,0.09,0.0001,99.05,3.43,0.14,16.77,1.06,,
102.100.100.7091,Madura,,,2011-12-03,-31.8633166667,126.9831,125,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,15,0.0,2.0,16.1,50.0,66.1,16.46,17.44,3.0,5.0,7.0,701.0,54.9,1.58,0.264,7.7,8.6,1.29,24.11,7.6,0.29,0.0001,21.69,2.32,2.02,0.57,2.09,,
102.100.100.7092,Madura,,,2011-12-03,-31.8633166667,126.9831,125,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,15,0.0,2.0,15.87,48.03,63.9,15.06,21.04,2.0,10.0,12.0,440.0,58.6,1.32,0.478,7.8,8.6,1.67,26.29,6.91,0.12,0.0001,20.87,3.08,1.64,1.34,2.55,,
102.100.100.7093,Border Village,,,2011-12-03,-31.40915,130.993683333,56,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,15,0.0,2.0,21.74,35.82,57.56,18.77,23.67,2.0,7.0,32.0,1413.0,68.0,1.87,0.457,7.9,8.7,0.96,23.35,8.73,0.49,0.0001,19.57,3.73,3.61,2.82,2.56,,
